model,temperature,top_p,frequency_penalty,presence_penalty,prompt,calls_per_cue,num_cues,hash,jaccard,recall10,ent_gap
gpt-4.1-nano,1.1,1.0,0.0,0.0,chatml_func,1,5,54e7470e,0.0729,1.0,3.2466
gpt-4.1-nano,1.1,0.95,0.0,0.6,chatml_func,5,5,556734d5,0.0484,1.0,1.0672
gpt-4.1-nano,0.7,1.0,0.3,0.0,human_json,1,5,5b4b24b7,0.0669,1.0,3.6896
gpt-4.1-nano,0.7,1.0,0.3,0.0,human_json,5,5,5d4b54f9,0.0493,0.8,2.2635
gpt-4.1-nano,1.5,1.0,0.3,0.0,chatml_func,5,5,6657ab07,0.048,1.0,1.0822
gpt-4.1-nano,1.1,1.0,0.3,0.0,human_json,1,5,67288d39,0.0828,1.0,3.0162
gpt-4.1-nano,1.1,0.95,0.3,0.0,chatml_func,1,5,6867bfed,0.0902,1.0,3.4614
gpt-4.1-nano,0.7,0.95,0.3,0.6,chatml_func,1,5,6de6bd09,0.0609,1.0,3.4346
gpt-4.1-nano,1.1,1.0,0.0,0.0,human_json,5,5,6ed7e3d1,0.0563,1.0,1.9227
gpt-4.1-nano,0.7,0.95,0.0,0.0,human_json,5,5,6f6bb706,0.0572,1.0,1.5939
gpt-4.1-nano,0.7,0.95,0.3,0.0,human_json,1,5,6f775653,0.0678,1.0,3.6778
gpt-4.1-nano,1.5,1.0,0.0,0.0,chatml_func,10,5,6f7caf56,0.029,1.0,1.291
gpt-4.1-nano,0.7,0.95,0.0,0.0,chatml_func,1,5,71f1e742,0.0836,1.0,3.3814
gpt-4.1-nano,0.7,0.95,0.3,0.0,human_json,5,5,72070fe7,0.0672,1.0,1.6501
gpt-4.1-nano,0.7,1.0,0.0,0.6,chatml_func,5,5,72e1baaf,0.0414,1.0,1.6148
gpt-4.1-nano,0.7,1.0,0.0,0.6,human_json,5,5,76ff4a87,0.0524,1.0,1.5584
gpt-4.1-nano,1.5,1.0,0.3,0.6,chatml_func,1,5,78e5c19f,0.071,1.0,2.4687
gpt-4.1-nano,1.1,0.95,0.0,0.0,human_json,1,5,790f32c9,0.0822,1.0,3.2293
gpt-4.1-nano,0.7,0.95,0.0,0.0,chatml_func,10,5,7ab0f40b,0.052,1.0,1.745
gpt-4.1-nano,0.7,0.95,0.0,0.6,human_json,1,5,7bf671a3,0.0898,1.0,3.0919
gpt-4.1-nano,1.1,0.95,0.0,0.6,chatml_func,1,5,7c2a204c,0.0942,1.0,3.6569
gpt-4.1-nano,1.1,0.95,0.3,0.6,chatml_func,1,5,7dc80ea2,0.0846,1.0,3.2496
gpt-4.1-nano,1.1,1.0,0.3,0.6,human_json,1,5,7eb0a689,0.0877,1.0,3.9302
gpt-4.1-nano,1.5,1.0,0.3,0.0,chatml_func,1,5,7f292f4e,0.0602,0.8,2.4846
gpt-4.1-nano,0.7,1.0,0.3,0.6,human_json,10,5,82ef8dd6,0.0488,1.0,1.661
gpt-4.1-nano,0.7,1.0,0.3,0.6,chatml_func,1,5,84160543,0.0773,1.0,3.523
gpt-4.1-nano,1.5,0.95,0.3,0.0,human_json,10,5,84856ecf,0.0507,1.0,1.6387
gpt-4.1-nano,0.7,0.95,0.0,0.6,chatml_func,1,5,8770d265,0.0877,1.0,3.289
gpt-4.1-nano,1.5,0.95,0.3,0.6,chatml_func,1,5,8bb061ae,0.0692,1.0,2.8444
gpt-4.1-nano,0.7,1.0,0.0,0.0,human_json,5,5,8bd92aba,0.0609,1.0,1.7207
gpt-4.1-nano,0.7,1.0,0.0,0.6,chatml_func,10,5,8c1878a2,0.0333,0.8,0.4572
gpt-4.1-nano,1.1,1.0,0.3,0.6,chatml_func,10,5,8c3d0a6d,0.0374,0.8,1.0836
gpt-4.1-nano,1.5,0.95,0.0,0.0,chatml_func,1,5,8d10eb6d,0.077,1.0,3.0647
gpt-4.1-nano,1.5,0.95,0.0,0.6,human_json,5,5,8de90ce4,0.0427,0.8,1.2807
gpt-4.1-nano,1.5,0.95,0.3,0.6,human_json,1,5,8f5c4f07,0.0763,1.0,2.8234
gpt-4.1-nano,1.5,1.0,0.3,0.0,human_json,5,5,90f820f4,0.0453,1.0,1.1886
gpt-4.1-nano,0.7,0.95,0.3,0.0,human_json,10,5,926de7a4,0.0452,1.0,2.1518
gpt-4.1-nano,1.5,1.0,0.0,0.0,chatml_func,5,5,9c6dc6aa,0.0507,1.0,1.2694
gpt-4.1-nano,1.1,1.0,0.0,0.0,human_json,1,5,9c7f12be,0.0764,1.0,2.9778
gpt-4.1-nano,1.1,1.0,0.0,0.6,human_json,1,5,9cfaf3a1,0.0874,1.0,3.2717
gpt-4.1-nano,1.1,0.95,0.3,0.0,human_json,5,5,a195bceb,0.0492,0.8,2.2476
gpt-4.1-nano,1.5,0.95,0.3,0.0,chatml_func,10,5,a2028c69,0.0337,0.8,0.6635
gpt-4.1-nano,0.7,0.95,0.3,0.6,chatml_func,5,5,a4d2c503,0.0476,1.0,1.8065
gpt-4.1-nano,0.7,1.0,0.3,0.0,chatml_func,10,5,a7d963b2,0.0387,1.0,1.0388
gpt-4.1-nano,1.1,0.95,0.0,0.0,chatml_func,1,5,a9df420d,0.0684,1.0,3.13
gpt-4.1-nano,0.7,0.95,0.0,0.6,chatml_func,5,5,aa0c5c57,0.0512,1.0,1.3582
gpt-4.1-nano,1.1,1.0,0.0,0.0,human_json,10,5,ae2a6e5d,0.0475,1.0,1.1573
